Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Mastantuono Gina,Chief Financial Officer,2022-02-07,Option Exercise,0.0,"5,665",0,"7,963",Feb 09 07:51 PM
Desai Chirantan Jitendra,Chief Operating Officer,2022-02-07,Option Exercise,0.0,"9,440",0,"55,988",Feb 09 07:48 PM
Caimi Lara,Chief Customer & Partner Ofc,2022-02-07,Option Exercise,0.0,"3,777",0,"3,027",Feb 09 07:45 PM
Tzitzon Nicholas,Chief Strat & Corp Affairs Ofc,2022-02-07,Option Exercise,0.0,"2,266",0,"2,837",Feb 09 07:42 PM
ELMER RUSSELL S,General Counsel,2022-02-07,Sale,577.99,"2,092","1,209,155","8,723",Feb 09 07:40 PM
Bedi Christopher,Chief Information Officer,2022-01-28,Option Exercise,74.97,300,"22,491","12,561",Feb 09 07:58 PM
Bedi Christopher,Chief Information Officer,2022-01-28,Sale,528.69,700,"370,083","11,861",Feb 09 07:58 PM
LUDDY FREDERIC B,Director,2022-01-12,Sale,577.36,"15,000","8,660,336","209,524",Jan 13 07:17 PM
Mastantuono Gina,Chief Financial Officer,2022-01-10,Sale,550.1,738,"405,974","2,474",Jan 11 07:31 PM
Mastantuono Gina,Chief Financial Officer,2022-01-07,Option Exercise,0.0,"1,529",0,"3,757",Jan 11 07:31 PM
LUDDY FREDERIC B,Director,2021-12-07,Sale,657.4,"1,355","890,783","37,200",Dec 08 06:52 PM
LUDDY FREDERIC B,Director,2021-12-07,Sale,654.86,"15,145","9,917,783","38,555",Dec 08 06:50 PM
Mastantuono Gina,Chief Financial Officer,2021-11-18,Sale,682.47,719,"490,696","2,228",Nov 19 07:29 PM
Mastantuono Gina,Chief Financial Officer,2021-11-17,Option Exercise,0.0,"1,900",0,"3,661",Nov 19 07:29 PM
Tzitzon Nicholas,Chief Strat & Corp Affairs Ofc,2021-11-17,Option Exercise,0.0,511,0,812,Nov 19 07:28 PM
ELMER RUSSELL S,General Counsel,2021-11-17,Option Exercise,0.0,"1,504",0,"11,380",Nov 19 07:26 PM
McDermott William R,President & CEO,2021-11-17,Option Exercise,0.0,"5,067",0,"26,005",Nov 19 07:23 PM
Haverty Kevin,Chief Revenue Officer,2021-11-17,Option Exercise,0.0,"2,445",0,"18,231",Nov 19 07:20 PM
Desai Chirantan Jitendra,Chief Product & Eng Officer,2021-11-17,Option Exercise,0.0,"3,008",0,"47,928",Nov 19 07:13 PM
McDermott William R,President & CEO,2021-11-15,Option Exercise,0.0,"3,197",0,"23,135",Nov 16 06:01 PM
Desai Chirantan Jitendra,Chief Product & Eng Officer,2021-11-12,Option Exercise,0.0,"3,027",0,"46,282",Nov 16 05:58 PM
ELMER RUSSELL S,General Counsel,2021-11-12,Option Exercise,0.0,"1,325",0,"10,495",Nov 16 05:56 PM
Haverty Kevin,Chief Revenue Officer,2021-11-12,Option Exercise,0.0,"2,271",0,"16,912",Nov 16 05:53 PM
