Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
McFarland Joseph Michael,"EVP, Stores",2022-04-01,Option Exercise,0.0,"27,540",0,"54,310",Apr 05 07:46 AM
MCCANLESS ROSS W,"EVP, GC & Corp. Sec.",2022-04-01,Option Exercise,0.0,"17,260",0,"58,023",Apr 05 07:45 AM
Godbole Seemantini,"EVP, Chief Information Officer",2022-04-01,Option Exercise,0.0,"16,940",0,"43,499",Apr 05 07:43 AM
Frieson Donald,"EVP, Supply Chain",2022-04-01,Option Exercise,0.0,"16,940",0,"34,238",Apr 05 07:42 AM
Dupre Janice,"EVP, Human Resources",2022-04-01,Option Exercise,0.0,"1,840",0,"11,298",Apr 05 07:40 AM
Ellison Marvin R,"Chairman, President & CEO",2022-04-01,Option Exercise,0.0,"75,220",0,"183,655",Apr 05 07:41 AM
Denton David M,"EVP, Chief Financial Officer",2022-04-01,Option Exercise,0.0,"38,220",0,"72,543",Apr 05 07:40 AM
Boltz William P,"EVP, Merchandising",2022-04-01,Option Exercise,0.0,"26,260",0,"50,118",Apr 05 07:39 AM
