Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Tereau Daniel R,Please See Remarks,2022-07-22,Option Exercise,52.65,"5,700","300,105","19,080",Jul 25 04:05 PM
Tereau Daniel R,Please See Remarks,2022-07-22,Sale,145.14,"5,700","827,298","13,380",Jul 25 04:05 PM
Mock James M,Please See Remarks,2022-06-24,Sale,145.49,"5,025","731,092","27,577",Jun 27 04:05 PM
Tereau Daniel R,Please See Remarks,2022-03-14,Option Exercise,41.8,"6,696","279,893","20,076",Mar 15 04:05 PM
Tereau Daniel R,Please See Remarks,2022-03-14,Sale,165.84,"6,696","1,110,453","13,380",Mar 15 04:05 PM
Okun Andrew,Please See Remarks,2021-12-16,Sale,189.04,"1,350","255,206","6,902",Dec 17 05:18 PM
Tereau Daniel R,Please See Remarks,2021-12-09,Option Exercise,46.26,"3,546","164,020","13,651",Dec 10 04:25 PM
Tereau Daniel R,Please See Remarks,2021-12-09,Sale,189.55,"3,546","672,161","10,105",Dec 10 04:25 PM
Mock James M,Please See Remarks,2021-09-20,Sale,184.87,"6,080","1,124,040","23,244",Sep 21 04:05 PM
Okun Andrew,Please See Remarks,2021-08-30,Option Exercise,81.29,"3,054","248,260","11,306",Aug 31 04:05 PM
Okun Andrew,Please See Remarks,2021-08-30,Sale,187.48,"3,054","572,549","8,252",Aug 31 04:05 PM
Gregoire Sylvie,Director,2021-07-06,Option Exercise,46.27,"5,000","231,350","22,390",Jul 07 04:05 PM
Gregoire Sylvie,Director,2021-07-06,Sale,155.57,"5,000","777,850","17,390",Jul 07 04:05 PM
