Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Malzahn Daniel David,Chief Financial Officer,2022-07-28,Option Exercise,1019.74,"1,793","1,828,394","4,263",Aug 01 02:48 PM
Malzahn Daniel David,Chief Financial Officer,2022-07-28,Sale,4435.03,"1,793","7,952,009","2,470",Aug 01 02:48 PM
Bredow Eugene James,Chief Executive Officer,2022-05-06,Option Exercise,804.8,425,"342,040","1,251",May 09 12:29 PM
Ross Susan Williamson,Director,2021-12-21,Option Exercise,1700.0,125,"212,500",405,Dec 22 10:26 AM
ECKERT THOMAS D,Director,2021-11-30,Option Exercise,1094.22,"1,300","1,422,486","2,400",Dec 01 01:44 PM
ECKERT THOMAS D,Director,2021-11-30,Sale,5242.15,"1,300","6,814,795","1,100",Dec 01 01:44 PM
Kelpy Matthew B.,"VP, Chief Accounting Officer",2021-10-25,Buy,4860.0,100,"486,000",212,Oct 26 11:31 AM
JOHNSON MANUEL H,Director,2021-08-27,Option Exercise,1094.22,"1,000","1,094,220","1,400",Aug 30 01:57 PM
JOHNSON MANUEL H,Director,2021-08-27,Sale,5143.21,"1,000","5,143,210",400,Aug 30 01:57 PM
Bredow Eugene James,"President, NVRM, Inc.",2021-08-02,Option Exercise,804.8,300,"241,440","1,126",Aug 03 11:40 AM
Bredow Eugene James,"President, NVRM, Inc.",2021-08-02,Sale,5260.0,300,"1,578,000",826,Aug 03 11:40 AM
Bredow Eugene James,"President, NVRM, Inc.",2021-07-30,Option Exercise,804.8,92,"74,042",918,Aug 03 11:40 AM
Bredow Eugene James,"President, NVRM, Inc.",2021-07-30,Sale,5260.0,92,"483,920",826,Aug 03 11:40 AM
