Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Queenan Daniel G,"CEO, Real Estate Investments",2022-06-01,Sale,83.16,"5,000","415,800","188,841",Jun 03 05:21 PM
KIRK J. CHRISTOPHER,Global Chief Operating Officer,2022-05-10,Sale,78.35,"15,160","1,187,760","150,888",May 12 04:36 PM
SULENTIC ROBERT E,President and CEO,2022-03-04,Sale,90.09,"30,000","2,702,750","1,006,250",Mar 07 07:02 PM
Giamartino Emma E.,See Remarks,2022-03-02,Sale,97.0,146,"14,162","23,309",Mar 02 08:28 PM
Queenan Daniel G,"Global CEO, Advisory Services",2022-03-01,Sale,96.86,"5,000","484,300","197,930",Mar 02 08:26 PM
LAFITTE MICHAEL J,See Remarks,2022-02-25,Sale,98.0,"7,406","725,788","250,963",Mar 01 07:23 PM
Midler Laurence H,"EVP, GC & Chief Risk Officer",2022-02-23,Sale,99.73,"2,558","255,102","123,435",Feb 23 07:11 PM
Giamartino Emma E.,See Remarks,2022-02-18,Sale,99.68,271,"27,013","14,501",Feb 18 07:03 PM
Queenan Daniel G,"Global CEO, Advisory Services",2021-12-01,Sale,97.66,"5,000","488,300","149,395",Dec 03 04:21 PM
SULENTIC ROBERT E,President and CEO,2021-12-01,Sale,96.92,"30,000","2,907,720","764,560",Dec 03 04:20 PM
LAFITTE MICHAEL J,See Remarks,2021-11-03,Sale,104.82,"10,468","1,097,270","194,089",Nov 05 04:37 PM
SULENTIC ROBERT E,President and CEO,2021-09-01,Sale,97.23,"30,000","2,916,976","804,947",Sep 03 04:49 PM
Queenan Daniel G,"Global CEO, Advisory Services",2021-09-01,Sale,96.7,15,"1,450","154,395",Sep 03 04:49 PM
Boze Brandon B,Director,2021-08-12,Sale,95.47,"341,000","32,555,270","9,232,609",Aug 12 04:57 PM
Boze Brandon B,Director,2021-08-11,Sale,96.34,"357,000","34,393,380","9,573,609",Aug 12 04:57 PM
Boze Brandon B,Director,2021-08-10,Sale,96.41,"302,000","29,115,820","9,930,609",Aug 12 04:57 PM
Giamartino Emma E.,See Remarks,2021-08-05,Sale,96.9,227,"21,996","15,305",Aug 06 04:30 PM
KIRK J. CHRISTOPHER,Global Chief Operating Officer,2021-08-04,Sale,97.01,"18,000","1,746,248","131,498",Aug 06 04:29 PM
