Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Malinas David J.,"SVP, Operations",2022-04-25,Buy,139.44,350,"48,804","2,744",Apr 26 07:29 PM
Kosinski Anthony K,"Vice President, Tax",2022-03-14,Option Exercise,91.2,"6,579","600,005","11,046",Mar 16 05:38 PM
Kosinski Anthony K,"Vice President, Tax",2022-03-14,Sale,153.43,"3,287","504,338","3,051",Mar 16 05:38 PM
Tobin Richard J,CEO and President,2022-03-03,Sale,156.91,"31,515","4,945,061","187,911",Mar 04 04:44 PM
Cerepak Brad M,Senior Vice President & CFO,2021-12-01,Sale,166.48,"20,033","3,335,047","59,906",Dec 02 09:28 PM
Cerepak Brad M,Senior Vice President & CFO,2021-11-23,Option Exercise,69.57,"60,371","4,200,010","122,493",Nov 26 04:03 PM
Kosinski Anthony K,"Vice President, Tax",2021-11-02,Sale,170.82,"1,645","281,007","3,026",Nov 02 04:40 PM
Kosinski Anthony K,"Vice President, Tax",2021-10-29,Option Exercise,82.09,"7,309","599,996","9,335",Nov 02 04:40 PM
