Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Leopold Diane,EVP and COO,2022-06-01,Sale,83.89,"6,250","524,303","110,147",Jun 03 04:33 PM
BLUE ROBERT M,"Chair, President and CEO",2022-02-16,Buy,78.4,"3,180","249,325","183,052",Feb 16 03:45 PM
STORY SUSAN N,Director,2021-11-24,Buy,74.42,"1,500","111,630","15,525",Nov 29 11:05 AM
Chapman James R.,"EVP, CFO & Treasurer",2021-11-10,Buy,75.28,996,"74,998","57,103",Nov 10 05:47 PM
BLUE ROBERT M,"Chair, President and CEO",2021-11-10,Buy,75.28,"3,321","249,998","142,762",Nov 10 05:45 PM
