Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Faurot Holly,Chief Sales Officer,2022-05-25,Sale,277.55,"5,431","1,507,393","38,289",May 26 04:05 PM
Faurot Holly,Chief Sales Officer,2022-05-11,Sale,275.19,75,"20,639",966,May 13 04:05 PM
Faurot Holly,Chief Sales Officer,2022-05-11,Sale,275.24,"1,460","401,850","43,720",May 13 04:05 PM
Smith Bradley Scott,Chief Information Officer,2022-05-11,Sale,275.24,"1,625","447,265","3,600",May 13 04:06 PM
Richison Chad R.,President and CEO,2022-05-11,Sale,275.24,"9,611","2,645,332","4,727,444",May 13 04:05 PM
Boelte Craig E.,Chief Financial Officer,2022-05-11,Sale,275.24,"2,709","745,625","260,773",May 13 04:06 PM
Long Justin Devon,EVP of Operations,2022-05-11,Sale,275.23,151,"41,560","2,956",May 13 04:05 PM
Smith Bradley Scott,Chief Information Officer,2022-05-09,Sale,280.34,440,"123,350","5,225",May 11 04:05 PM
Faurot Holly,Chief Sales Officer,2022-05-09,Sale,280.18,14,"3,923","1,041",May 11 04:05 PM
Faurot Holly,Chief Sales Officer,2022-05-09,Sale,280.32,194,"54,382","45,180",May 11 04:05 PM
Clark Jason D.,Director,2021-09-09,Sale,485.96,"1,400","680,344","5,043",Sep 14 05:07 PM
Boelte Craig E.,Chief Financial Officer,2021-09-08,Sale,479.85,"25,000","11,996,263","274,683",Sep 10 04:15 PM
Evans Jon,Chief Operating Officer,2021-09-02,Sale,500.25,"3,000","1,500,750","13,507",Sep 03 04:15 PM
Evans Jon,Chief Operating Officer,2021-08-23,Sale,475.88,"2,200","1,046,927","16,507",Aug 25 04:15 PM
Evans Jon,Chief Operating Officer,2021-08-09,Sale,475.12,300,"142,536","18,707",Aug 11 04:15 PM
Evans Jon,Chief Operating Officer,2021-08-05,Sale,450.83,"2,500","1,127,067","19,007",Aug 09 04:15 PM
Smith Bradley Scott,Chief Information Officer,2021-07-12,Sale,378.24,"3,000","1,134,719","17,726",Jul 14 04:15 PM
Boelte Craig E.,Chief Financial Officer,2021-07-06,Sale,387.26,"20,000","7,745,226","299,683",Jul 08 04:15 PM
