Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
KELLNER LAWRENCE W,Director,2022-02-14,Buy,208.91,"5,000","1,044,550","7,500",Feb 16 05:00 PM
MOLLENKOPF STEVEN M,Director,2022-02-01,Buy,208.39,480,"100,027","1,632",Feb 03 07:39 PM
Dandridge Edward Lee,"SVP, Communications",2021-11-05,Sale,221.87,990,"219,651","10,439",Nov 09 06:31 PM
