Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Hoge Stephen,President,2022-06-23,Sale,135.96,"5,000","679,800","1,624,231",Jun 27 05:11 PM
Bancel Stephane,Chief Executive Officer,2022-06-23,Sale,135.96,"10,000","1,359,600","6,834,880",Jun 24 04:02 PM
Bancel Stephane,Chief Executive Officer,2022-06-23,Sale,140.8,"40,000","5,631,957","5,411,946",Jun 24 04:02 PM
Bancel Stephane,Chief Executive Officer,2022-06-22,Option Exercise,0.99,"40,000","39,600","5,451,946",Jun 24 04:02 PM
Bancel Stephane,Chief Executive Officer,2022-06-22,Sale,136.58,"40,000","5,463,323","5,411,946",Jun 24 04:02 PM
AFEYAN NOUBAR,Director,2022-06-22,Sale,127.69,"10,000","1,276,900","2,527,209",Jun 24 07:42 PM
Bancel Stephane,Chief Executive Officer,2022-06-16,Option Exercise,0.99,"40,000","39,600","5,451,946",Jun 17 04:09 PM
Bancel Stephane,Chief Executive Officer,2022-06-16,Sale,119.85,"40,000","4,793,882","5,411,946",Jun 17 04:09 PM
Bancel Stephane,Chief Executive Officer,2022-06-16,Sale,124.29,"10,000","1,242,900","6,844,880",Jun 17 04:09 PM
Bancel Stephane,Chief Executive Officer,2022-06-15,Option Exercise,0.99,"40,000","39,600","5,451,946",Jun 17 04:09 PM
Bancel Stephane,Chief Executive Officer,2022-06-15,Sale,128.16,"40,000","5,126,348","5,411,946",Jun 17 04:09 PM
Hoge Stephen,President,2022-06-13,Option Exercise,10.9,"10,000","109,000","1,634,231",Jun 14 06:55 PM
Hoge Stephen,President,2022-06-13,Sale,123.0,"10,000","1,230,000","1,624,231",Jun 14 06:55 PM
Bancel Stephane,Chief Executive Officer,2022-06-09,Option Exercise,0.99,"40,000","39,600","5,451,946",Jun 10 04:12 PM
Bancel Stephane,Chief Executive Officer,2022-06-09,Sale,137.37,"40,000","5,494,922","5,411,946",Jun 10 04:12 PM
Bancel Stephane,Chief Executive Officer,2022-06-09,Sale,148.07,"10,000","1,480,700","6,854,880",Jun 10 04:12 PM
Andres Juan,See remarks,2022-06-08,Option Exercise,20.51,"10,000","205,079","20,367",Jun 10 04:08 PM
Bancel Stephane,Chief Executive Officer,2022-06-08,Option Exercise,0.99,"40,000","39,600","5,451,946",Jun 10 04:12 PM
Andres Juan,See remarks,2022-06-08,Sale,150.0,"10,000","1,500,000","10,367",Jun 10 04:08 PM
Bancel Stephane,Chief Executive Officer,2022-06-08,Sale,149.64,"40,000","5,985,511","5,411,946",Jun 10 04:12 PM
AFEYAN NOUBAR,Director,2022-06-08,Sale,147.47,"10,000","1,474,700","2,537,209",Jun 10 07:30 PM
Klinger Shannon Thyme,Chief Legal Officer,2022-06-08,Sale,148.12,"1,265","187,371","3,289",Jun 09 04:14 PM
Klinger Shannon Thyme,Chief Legal Officer,2022-06-07,Option Exercise,140.0,"4,554","637,560","4,554",Jun 09 04:14 PM
Bancel Stephane,Chief Executive Officer,2022-06-02,Option Exercise,0.99,"40,000","39,600","5,451,946",Jun 03 04:04 PM
Bancel Stephane,Chief Executive Officer,2022-06-02,Sale,136.67,"40,000","5,466,901","5,411,946",Jun 03 04:04 PM
Bancel Stephane,Chief Executive Officer,2022-06-02,Sale,140.0,"10,000","1,400,000","6,864,880",Jun 03 04:04 PM
Bancel Stephane,Chief Executive Officer,2022-06-01,Option Exercise,0.99,"40,000","39,600","5,451,946",Jun 03 04:04 PM
Bancel Stephane,Chief Executive Officer,2022-06-01,Sale,143.6,"40,000","5,743,931","5,411,946",Jun 03 04:04 PM
AFEYAN NOUBAR,Director,2022-06-01,Sale,146.31,"10,000","1,463,100","2,547,209",Jun 03 07:30 PM
Hoge Stephen,President,2022-05-31,Option Exercise,0.99,"7,431","7,357","1,632,661",Jun 01 05:15 PM
Hoge Stephen,President,2022-05-31,Sale,145.02,"8,430","1,222,527","1,624,231",Jun 01 05:15 PM
Andres Juan,See remarks,2022-05-31,Sale,145.4,749,"108,904","10,367",Jun 01 05:17 PM
Hoge Stephen,President,2022-05-27,Option Exercise,135.8,"2,410","327,278","1,625,230",Jun 01 05:15 PM
Andres Juan,See remarks,2022-05-27,Option Exercise,135.8,"1,807","245,391","11,116",Jun 01 05:17 PM
Bancel Stephane,Chief Executive Officer,2022-05-26,Option Exercise,0.99,"40,000","39,600","5,451,946",May 27 04:05 PM
Bancel Stephane,Chief Executive Officer,2022-05-26,Sale,133.89,"40,000","5,355,490","5,411,946",May 27 04:05 PM
Bancel Stephane,Chief Executive Officer,2022-05-26,Sale,130.85,"10,000","1,308,500","6,874,880",May 27 04:05 PM
Bancel Stephane,Chief Executive Officer,2022-05-25,Option Exercise,0.99,"40,000","39,600","5,451,946",May 27 04:05 PM
Bancel Stephane,Chief Executive Officer,2022-05-25,Sale,128.37,"40,000","5,134,850","5,411,946",May 27 04:05 PM
AFEYAN NOUBAR,Director,2022-05-25,Sale,130.8,"10,000","1,308,000","2,557,209",May 27 07:30 PM
Hoge Stephen,President,2022-05-24,Option Exercise,10.9,"5,000","54,500","1,627,820",May 25 04:02 PM
Hoge Stephen,President,2022-05-24,Sale,136.6,"5,000","683,000","1,622,820",May 25 04:02 PM
Hoge Stephen,President,2022-05-23,Option Exercise,10.9,"5,000","54,500","1,627,820",May 25 04:02 PM
Hoge Stephen,President,2022-05-23,Sale,137.3,"5,000","686,500","1,622,820",May 25 04:02 PM
Bancel Stephane,Chief Executive Officer,2022-05-19,Sale,140.96,"10,000","1,409,600","6,884,880",May 20 04:35 PM
AFEYAN NOUBAR,Director,2022-05-18,Sale,138.38,"10,000","1,383,800","2,567,209",May 20 07:30 PM
Hoge Stephen,President,2022-05-13,Option Exercise,4.29,"15,000","64,400","1,637,820",May 16 04:09 PM
AFEYAN NOUBAR,Director,2022-05-13,Sale,134.47,"100,000","13,446,611","5,816,657",May 13 07:30 PM
Hoge Stephen,President,2022-05-13,Sale,132.69,"15,000","1,990,350","1,622,820",May 16 04:09 PM
Hoge Stephen,President,2022-05-12,Option Exercise,10.9,"5,000","54,500","1,627,820",May 16 04:09 PM
Bancel Stephane,Chief Executive Officer,2022-05-12,Sale,121.1,"10,000","1,211,000","6,894,880",May 13 04:42 PM
AFEYAN NOUBAR,Director,2022-05-12,Sale,130.51,"200,000","26,101,175","5,916,657",May 13 07:30 PM
Hoge Stephen,President,2022-05-12,Sale,121.1,"5,000","605,500","1,622,820",May 16 04:09 PM
Bancel Stephane,Chief Executive Officer,2022-05-11,Sale,127.13,"9,000","1,144,164","5,395,535",May 13 04:42 PM
AFEYAN NOUBAR,Director,2022-05-11,Sale,130.74,"10,000","1,307,400","2,229,673",May 13 07:30 PM
Nader Francois,Director,2022-05-10,Option Exercise,18.87,"23,100","435,897","23,803",May 12 04:22 PM
Andres Juan,See remarks,2022-05-10,Sale,133.71,195,"26,074","9,309",May 11 04:24 PM
Meline David W,Chief Financial Officer,2022-05-10,Sale,133.71,156,"20,859","2,583",May 11 04:26 PM
Hoge Stephen,President,2022-05-10,Sale,133.71,234,"31,289","1,622,820",May 11 04:29 PM
Nader Francois,Director,2022-05-10,Sale,136.1,"3,196","434,976","20,607",May 12 04:22 PM
Andres Juan,See remarks,2022-05-09,Option Exercise,134.4,435,"58,464","9,504",May 11 04:24 PM
Meline David W,Chief Financial Officer,2022-05-09,Option Exercise,134.4,348,"46,771","2,739",May 11 04:26 PM
Hoge Stephen,President,2022-05-09,Option Exercise,134.4,522,"70,157","1,623,054",May 11 04:29 PM
Bancel Stephane,Chief Executive Officer,2022-05-05,Sale,151.87,"10,000","1,518,700","6,904,880",May 06 04:09 PM
Andres Juan,See remarks,2022-05-04,Option Exercise,14.22,"2,000","28,440","11,069",May 06 04:06 PM
Andres Juan,See remarks,2022-05-04,Sale,153.23,"2,000","306,460","9,069",May 06 04:06 PM
Bancel Stephane,Chief Executive Officer,2022-05-04,Sale,147.25,"9,000","1,325,272","5,408,535",May 06 04:09 PM
Hoge Stephen,President,2022-05-03,Option Exercise,0.99,"10,000","9,900","1,632,532",May 04 04:37 PM
Hoge Stephen,President,2022-05-03,Sale,141.93,"10,000","1,419,300","1,622,532",May 04 04:37 PM
Hoge Stephen,President,2022-05-02,Option Exercise,0.99,"10,000","9,900","1,632,532",May 04 04:37 PM
Hoge Stephen,President,2022-05-02,Sale,134.87,"10,000","1,348,700","1,622,532",May 04 04:37 PM
Andres Juan,See remarks,2022-04-29,Option Exercise,14.22,"2,000","28,440","11,069",May 02 04:24 PM
Andres Juan,See remarks,2022-04-29,Sale,150.0,"2,000","300,000","9,069",May 02 04:24 PM
AFEYAN NOUBAR,Director,2022-04-28,Option Exercise,0.0,703,0,"2,239,673",May 02 08:24 PM
NABEL ELIZABETH G,Director,2022-04-28,Option Exercise,0.0,703,0,703,May 02 04:37 PM
Horning Sandra,Director,2022-04-28,Option Exercise,0.0,703,0,703,May 02 04:38 PM
Tallett Elizabeth E,Director,2022-04-28,Option Exercise,0.0,703,0,703,May 02 04:39 PM
Nader Francois,Director,2022-04-28,Option Exercise,0.0,703,0,703,May 02 04:40 PM
SAGAN PAUL,Director,2022-04-28,Option Exercise,0.0,703,0,703,May 02 04:42 PM
LANGER ROBERT,Director,2022-04-28,Option Exercise,0.0,703,0,"11,467,664",May 02 04:45 PM
Berenson Stephen,Director,2022-04-28,Option Exercise,0.0,703,0,"20,801",May 02 04:47 PM
Bancel Stephane,Chief Executive Officer,2022-04-28,Sale,143.73,"10,000","1,437,300","6,914,880",Apr 29 04:18 PM
Bancel Stephane,Chief Executive Officer,2022-04-27,Sale,142.14,"9,000","1,279,301","5,421,535",Apr 29 04:18 PM
Hoge Stephen,President,2022-04-25,Option Exercise,5.95,"20,000","118,900","1,642,532",Apr 26 04:07 PM
Hoge Stephen,President,2022-04-25,Sale,143.22,"20,000","2,864,497","1,622,532",Apr 26 04:07 PM
Bancel Stephane,Chief Executive Officer,2022-04-21,Sale,149.43,"10,000","1,494,300","6,924,880",Apr 22 04:05 PM
Andres Juan,See remarks,2022-04-20,Option Exercise,14.22,"2,000","28,440","11,069",Apr 22 04:08 PM
Andres Juan,See remarks,2022-04-20,Sale,153.0,"2,000","306,000","9,069",Apr 22 04:08 PM
Bancel Stephane,Chief Executive Officer,2022-04-20,Sale,150.59,"9,000","1,355,281","5,434,535",Apr 22 04:05 PM
Bancel Stephane,Chief Executive Officer,2022-04-14,Sale,168.59,"10,000","1,685,900","6,934,880",Apr 15 03:16 PM
Andres Juan,See remarks,2022-04-13,Option Exercise,14.22,"2,000","28,440","11,069",Apr 15 03:09 PM
Hoge Stephen,President,2022-04-13,Option Exercise,4.29,"15,000","64,400","1,637,532",Apr 14 04:06 PM
Bancel Stephane,Chief Executive Officer,2022-04-13,Sale,170.26,"9,000","1,532,347","5,443,535",Apr 15 03:16 PM
Andres Juan,See remarks,2022-04-13,Sale,158.37,"2,000","316,740","9,069",Apr 15 03:09 PM
Hoge Stephen,President,2022-04-13,Sale,158.37,"15,000","2,375,550","1,622,532",Apr 14 04:06 PM
Hoge Stephen,President,2022-04-12,Option Exercise,10.9,"5,000","54,500","1,627,532",Apr 14 04:06 PM
