Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2021-09-03,Option Exercise,38.4,"1,000","38,400","50,093",Sep 08 05:28 PM
WOODGRIFT RANDEL WILLIAM,SENIOR VICE PRESIDENT,2021-09-03,Sale,129.0,"6,350","819,150","43,743",Sep 08 05:28 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-09-02,Option Exercise,42.47,"9,500","403,500","59,282",Sep 03 05:20 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-09-02,Sale,127.5,"9,500","1,211,250","49,782",Sep 03 05:20 PM
LANE ANDREW H,EXECUTIVE VICE PRESIDENT,2021-08-27,Option Exercise,38.4,"135,925","5,219,520","222,012",Aug 31 05:18 PM
LANE ANDREW H,EXECUTIVE VICE PRESIDENT,2021-08-27,Sale,125.47,"135,925","17,055,189","86,087",Aug 31 05:18 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-08-17,Option Exercise,41.07,"14,500","595,500","64,282",Aug 19 06:27 PM
Karam Sammy,SENIOR VICE PRESIDENT,2021-08-17,Option Exercise,75.9,"8,000","607,200","30,926",Aug 19 06:29 PM
Karam Sammy,SENIOR VICE PRESIDENT,2021-08-17,Sale,125.0,"8,000","1,000,000","22,926",Aug 19 06:29 PM
Wainer Andrea F,EXECUTIVE VICE PRESIDENT,2021-08-17,Sale,125.0,"14,500","1,812,500","49,782",Aug 19 06:27 PM
Karam Sammy,SENIOR VICE PRESIDENT,2021-08-03,Option Exercise,75.9,"8,000","607,200","30,926",Aug 05 05:40 PM
Karam Sammy,SENIOR VICE PRESIDENT,2021-08-03,Sale,122.5,"8,000","980,000","22,926",Aug 05 05:40 PM
DALE MICHAEL D,SENIOR VICE PRESIDENT,2021-07-28,Option Exercise,50.72,"17,600","892,672","57,291",Jul 30 05:21 PM
DALE MICHAEL D,SENIOR VICE PRESIDENT,2021-07-28,Sale,120.33,"17,600","2,117,882","39,691",Jul 30 05:21 PM
