Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
MOSKOWITZ JOSEPH L,Director,2022-07-01,Sale,55.32,300,"16,596","20,515",Jul 05 04:36 PM
Lloyd Karole,Director,2022-04-28,Buy,59.36,"1,000","59,360","38,588",Apr 29 05:28 PM
MOSKOWITZ JOSEPH L,Director,2022-04-01,Sale,64.87,300,"19,461","17,947",Apr 04 05:08 PM
RIGGIERI ALBERT,"SVP, Chief Actuary",2022-03-29,Option Exercise,35.52,"2,627","93,311","27,927",Mar 31 09:02 AM
RIGGIERI ALBERT,"SVP, Chief Actuary",2022-03-29,Sale,65.05,"1,687","109,739","26,240",Mar 31 09:02 AM
Fukuzawa Toshihiko,Director,2022-03-25,Sale,65.5,"1,300","85,150","10,226",Mar 28 05:27 PM
HOWARD JUNE P,Sr. Vice President,2022-03-09,Option Exercise,24.75,"13,110","324,472","114,893",Mar 11 05:00 PM
HOWARD JUNE P,Sr. Vice President,2022-03-09,Sale,60.69,"9,070","550,476","105,823",Mar 11 05:00 PM
Koide Masatoshi,"Pres. and Rep. Director, ALIJ",2022-02-16,Sale,64.23,"22,886","1,469,968","68,308",Feb 17 05:27 PM
LAKE CHARLES D II,"Chairman & Rep. Director, ALIJ",2022-02-16,Sale,64.23,"25,909","1,664,135","48,338",Feb 17 05:16 PM
KIRSCH ERIC M,Executive Vice President,2022-02-16,Sale,64.36,"18,750","1,206,675","64,121",Feb 17 04:59 PM
MOSKOWITZ JOSEPH L,Director,2022-01-03,Sale,58.63,300,"17,589","18,228",Jan 04 05:27 PM
KENNY THOMAS J,Director,2021-12-22,Option Exercise,35.75,"23,701","847,311","40,290",Dec 23 05:19 PM
KENNY THOMAS J,Director,2021-12-22,Sale,57.15,"23,701","1,354,560","16,589",Dec 23 05:19 PM
TILLMAN AUDREY B,Executive Vice President,2021-12-16,Option Exercise,24.28,"9,782","237,507","149,775",Dec 17 05:27 PM
TILLMAN AUDREY B,Executive Vice President,2021-12-16,Sale,58.2,"9,782","569,361","139,993",Dec 17 05:27 PM
Daniels James Todd,"EVP, CFO Aflac Japan",2021-12-14,Option Exercise,21.82,"12,700","277,076","43,004",Dec 16 09:21 AM
Daniels James Todd,"EVP, CFO Aflac Japan",2021-12-14,Sale,57.24,"9,079","519,703","35,004",Dec 16 09:21 AM
TILLMAN AUDREY B,Executive Vice President,2021-12-10,Option Exercise,24.28,"4,118","99,985","149,911",Dec 14 09:28 AM
TILLMAN AUDREY B,Executive Vice President,2021-12-10,Sale,57.67,"9,918","571,980","139,993",Dec 14 09:28 AM
MOSKOWITZ JOSEPH L,Director,2021-12-01,Sale,55.25,100,"5,525","18,528",Dec 03 09:07 AM
HOWARD JUNE P,Sr. Vice President,2021-11-23,Option Exercise,24.28,"6,840","166,075","99,420",Nov 24 05:00 PM
HOWARD JUNE P,Sr. Vice President,2021-11-23,Sale,56.64,"6,840","387,431","92,580",Nov 24 05:00 PM
MOSKOWITZ JOSEPH L,Director,2021-11-01,Sale,53.96,100,"5,396","18,611",Nov 02 05:21 PM
MOSKOWITZ JOSEPH L,Director,2021-10-01,Sale,52.28,100,"5,228","18,711",Oct 04 05:12 PM
MOSKOWITZ JOSEPH L,Director,2021-09-01,Sale,56.86,100,"5,686","18,811",Sep 03 09:21 AM
KIRSCH ERIC M,Executive Vice President,2021-08-23,Option Exercise,28.96,"38,230","1,107,332","242,212",Aug 24 04:59 PM
KIRSCH ERIC M,Executive Vice President,2021-08-23,Sale,57.02,"34,778","1,983,215","207,434",Aug 24 04:59 PM
Fukuzawa Toshihiko,Director,2021-08-17,Sale,57.3,"2,000","114,600","11,473",Aug 19 07:32 AM
MOSKOWITZ JOSEPH L,Director,2021-08-02,Sale,55.31,100,"5,531","18,894",Aug 03 05:07 PM
Lloyd Karole,Director,2021-07-30,Buy,55.21,"1,000","55,212","37,535",Aug 02 05:18 PM
