Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Modjtabai Avid,Director,2022-05-20,Buy,118.65,"15,000","1,779,750","15,000",May 20 07:08 PM
WEBB CARL B,Director,2022-05-01,Option Exercise,0.0,"2,621",0,"84,326",May 02 07:35 PM
ZOLLARS WILLIAM D,Director,2022-05-01,Option Exercise,0.0,"2,621",0,"18,227",May 02 07:33 PM
SKELTON JEFFREY L,Director,2022-05-01,Option Exercise,0.0,"2,621",0,"57,161",May 02 07:30 PM
Piani Olivier,Director,2022-05-01,Option Exercise,0.0,"2,621",0,"7,178",May 02 07:26 PM
KENNARD LYDIA H,Director,2022-05-01,Option Exercise,0.0,"2,621",0,"35,394",May 02 07:21 PM
BITA CRISTINA GABRIELA,Director,2022-05-01,Option Exercise,0.0,"2,621",0,"5,797",May 02 07:19 PM
LYONS IRVING F III,Director,2022-04-25,Sale,164.6,"44,385","7,305,727","22,431",Apr 26 12:03 PM
ZOLLARS WILLIAM D,Director,2022-03-25,Sale,155.68,"1,350","210,168","15,606",Mar 25 06:51 PM
ZOLLARS WILLIAM D,Director,2021-12-22,Sale,162.26,"1,955","317,226","16,956",Dec 27 06:58 PM
Olinger Thomas S,Chief Financial Officer,2021-12-06,Option Exercise,0.0,316,0,"13,191",Dec 07 01:54 PM
ZOLLARS WILLIAM D,Director,2021-11-08,Sale,146.2,"1,380","201,756","18,911",Nov 09 05:03 PM
MOGHADAM HAMID R,Chairman & CEO,2021-10-25,Sale,144.64,"14,355","2,076,362","1,019,089",Oct 26 04:16 PM
MOGHADAM HAMID R,Chairman & CEO,2021-10-22,Sale,144.24,"305,645","44,085,593","1,033,444",Oct 26 04:16 PM
LYONS IRVING F III,Director,2021-08-30,Sale,133.53,"24,000","3,204,655",0,Oct 04 01:18 PM
