Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Flores Nancy,"EVP, CIO & CTO",2022-04-07,Sale,311.09,"3,298","1,025,975","5,440",Apr 08 06:40 PM
Vitalone Britt J.,EVP & CFO,2022-03-10,Option Exercise,144.43,"6,324","913,375","18,256",Mar 14 05:58 PM
Vitalone Britt J.,EVP & CFO,2022-02-08,Option Exercise,237.86,"2,712","645,076","14,414",Feb 10 05:53 PM
Faber Tracy,EVP & Chief HR Officer,2022-02-07,Option Exercise,237.86,"2,034","483,807","2,034",Feb 09 03:39 PM
Flores Nancy,"EVP, CIO & CTO",2022-02-07,Option Exercise,0.0,"5,438",0,"10,341",Feb 09 03:40 PM
Faber Tracy,EVP & Chief HR Officer,2022-02-07,Sale,265.23,"2,034","539,472",0,Feb 09 03:39 PM
Emerson Kevin,"SVP, Controller & CAO",2022-02-02,Sale,256.17,25,"6,404",0,Feb 03 02:31 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-12-29,Option Exercise,237.86,"15,842","3,768,178","15,842",Dec 30 01:04 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-12-29,Sale,250.0,"15,842","3,960,500",0,Dec 30 01:04 PM
Faber Tracy,EVP & Chief HR Officer,2021-11-22,Sale,222.92,"8,426","1,878,299",0,Nov 23 01:25 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-11-10,Sale,220.01,"10,249","2,254,882",0,Nov 12 10:18 AM
TYLER BRIAN S.,Chief Executive Officer,2021-11-10,Sale,220.05,"12,288","2,703,937","18,425",Nov 12 10:19 AM
Vitalone Britt J.,EVP & CFO,2021-11-09,Option Exercise,0.0,"19,112",0,"19,223",Nov 12 08:59 AM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-11-09,Option Exercise,0.0,"19,112",0,"19,112",Nov 12 10:18 AM
TYLER BRIAN S.,Chief Executive Officer,2021-11-09,Option Exercise,0.0,"20,772",0,"39,197",Nov 12 10:19 AM
Faber Tracy,EVP & Chief HR Officer,2021-11-04,Option Exercise,0.0,901,0,"8,781",Nov 08 12:06 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-11-03,Option Exercise,144.43,"5,488","792,632","5,488",Nov 04 05:11 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-11-03,Sale,225.0,"5,488","1,234,800",0,Nov 04 05:11 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-11-02,Option Exercise,172.47,"48,924","8,437,820","27,720",Nov 04 05:11 PM
TYLER BRIAN S.,Chief Executive Officer,2021-11-02,Sale,220.0,"6,214","1,367,080","18,425",Nov 04 05:10 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-11-02,Sale,217.82,"48,924","10,656,752",0,Nov 04 05:11 PM
Vitalone Britt J.,EVP & CFO,2021-11-02,Sale,216.0,"1,095","236,520",111,Nov 04 05:06 PM
Emerson Kevin,"SVP, Controller & CAO",2021-11-02,Sale,216.0,9,"1,944",0,Nov 04 05:03 PM
Vitalone Britt J.,EVP & CFO,2021-10-25,Option Exercise,159.0,"1,447","230,073","2,653",Oct 27 01:34 PM
Vitalone Britt J.,EVP & CFO,2021-10-25,Sale,210.0,"8,022","1,684,620","1,206",Oct 27 01:34 PM
Vitalone Britt J.,EVP & CFO,2021-09-13,Option Exercise,182.84,"7,839","1,433,265","13,344",Sep 15 12:30 PM
Vitalone Britt J.,EVP & CFO,2021-09-13,Sale,203.75,"22,085","4,499,817","7,781",Sep 15 12:30 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-08-03,Option Exercise,191.81,"14,419","2,765,708","14,419",Aug 04 01:10 PM
Schechter Lori A.,"EVP, Chief Legal Officer & GC",2021-08-03,Sale,203.03,"14,419","2,927,490",0,Aug 04 01:10 PM
TYLER BRIAN S.,Chief Executive Officer,2021-08-02,Option Exercise,191.81,"1,467","281,385","26,106",Aug 03 03:19 PM
TYLER BRIAN S.,Chief Executive Officer,2021-08-02,Sale,203.84,"1,467","299,033","24,639",Aug 03 03:19 PM
Vitalone Britt J.,EVP & CFO,2021-07-30,Option Exercise,191.81,"3,000","575,430","24,916",Aug 03 03:18 PM
