Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
BROCKBANK MARK ELLWOOD,Director,2022-08-01,Buy,61.85,"1,434","88,692","6,000",Aug 02 05:06 PM
BROCKBANK MARK ELLWOOD,Director,2022-07-29,Buy,62.00,"4,566","283,092","4,566",Aug 02 05:06 PM
BROCKBANK MARK ELLWOOD,Director,2021-12-23,Sale,80.31,"25,000","2,007,700","802,659",Dec 23 04:41 PM
