Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Kirkhorn Zachary,Chief Financial Officer,2022-02-17,Sale,913.26,"1,250","1,141,575","56,084",Feb 22 07:02 PM
DENHOLM ROBYN M,Director,2022-02-01,Option Exercise,52.38,"25,000","1,309,500","30,000",Feb 03 07:38 PM
DENHOLM ROBYN M,Director,2022-02-01,Sale,923.57,"25,000","23,089,129","5,000",Feb 03 07:38 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-01-27,Option Exercise,62.72,"3,500","219,520","22,749",Jan 31 07:37 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-01-27,Sale,933.56,"3,500","3,267,460","19,249",Jan 31 07:37 PM
Kirkhorn Zachary,Chief Financial Officer,2022-01-18,Sale,1026.75,"1,250","1,283,438","57,334",Jan 20 07:39 PM
Taneja Vaibhav,Chief Accounting Officer,2022-01-05,Option Exercise,54.66,"7,000","382,620","29,905",Jan 07 06:36 PM
Taneja Vaibhav,Chief Accounting Officer,2022-01-05,Sale,1160.85,"1,100","1,276,940","22,905",Jan 07 06:37 PM
Taneja Vaibhav,Chief Accounting Officer,2022-01-05,Sale,1131.26,"5,900","6,674,424","24,005",Jan 07 06:36 PM
Kirkhorn Zachary,Chief Financial Officer,2021-12-31,Option Exercise,55.32,"3,200","177,024","58,584",Jan 04 09:50 PM
Musk Elon,CEO,2021-12-28,Option Exercise,6.24,"1,554,176","9,698,058","1,554,176",Dec 28 08:47 PM
Musk Elon,CEO,2021-12-28,Sale,1091.48,"923,435","1,007,908,791","630,741",Dec 28 08:47 PM
Musk Elon,CEO,2021-12-28,Sale,1113.59,"10,655","11,865,297","620,086",Dec 28 08:48 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2021-12-27,Option Exercise,62.72,"3,500","219,520","22,749",Dec 29 09:28 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2021-12-27,Sale,1073.0,"3,500","3,755,500","19,249",Dec 29 09:28 PM
Musk Elon,CEO,2021-12-22,Option Exercise,6.24,"2,105,171","13,136,267","3,260,035",Dec 22 09:24 PM
Musk Elon,CEO,2021-12-22,Sale,979.69,"340,564","333,647,031","2,919,471",Dec 22 09:24 PM
Musk Elon,CEO,2021-12-22,Sale,1002.35,"593,527","594,924,622","2,325,944",Dec 22 09:28 PM
Musk Elon,CEO,2021-12-21,Option Exercise,6.24,"2,088,955","13,035,079","2,088,955",Dec 21 09:52 PM
Musk Elon,CEO,2021-12-21,Sale,904.74,"583,611","528,016,861","1,505,344",Dec 21 09:52 PM
Musk Elon,CEO,2021-12-21,Sale,929.36,"350,480","325,723,600","1,154,864",Dec 21 09:36 PM
Kirkhorn Zachary,Chief Financial Officer,2021-12-17,Sale,915.0,"1,250","1,143,750","55,384",Dec 21 08:36 PM
Musk Elon,CEO,2021-12-16,Option Exercise,6.24,"2,151,940","13,428,106","2,151,940",Dec 16 08:52 PM
Musk Elon,CEO,2021-12-16,Sale,969.83,"295,214","286,307,000","1,217,849",Dec 16 08:55 PM
Musk Elon,CEO,2021-12-16,Sale,935.75,"638,877","597,827,015","1,513,063",Dec 16 08:52 PM
Musk Elon,CEO,2021-12-13,Option Exercise,6.24,"2,134,440","13,318,906","2,134,440",Dec 13 08:02 PM
Musk Elon,CEO,2021-12-13,Sale,992.27,"169,111","167,804,268","1,200,349",Dec 13 08:04 PM
Musk Elon,CEO,2021-12-13,Sale,965.62,"764,980","738,683,277","1,369,460",Dec 13 08:02 PM
Musk Elon,CEO,2021-12-09,Option Exercise,6.24,"2,165,241","13,511,104","2,165,241",Dec 09 08:19 PM
Musk Elon,CEO,2021-12-09,Sale,1044.54,"390,639","408,039,939","1,231,150",Dec 09 08:21 PM
Musk Elon,CEO,2021-12-09,Sale,1021.56,"543,452","555,171,415","1,621,789",Dec 09 08:19 PM
Taneja Vaibhav,Chief Accounting Officer,2021-12-06,Sale,980.41,"1,590","1,559,339","22,905",Dec 07 09:11 PM
Kirkhorn Zachary,Chief Financial Officer,2021-12-06,Sale,980.43,"2,652","2,600,345","56,634",Dec 07 09:02 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2021-12-06,Sale,980.47,917,"899,091","19,249",Dec 07 09:20 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2021-12-05,Option Exercise,0.0,"1,786",0,"20,166",Dec 07 09:20 PM
Kirkhorn Zachary,Chief Financial Officer,2021-12-05,Option Exercise,0.0,"5,624",0,"59,286",Dec 07 09:02 PM
Taneja Vaibhav,Chief Accounting Officer,2021-12-05,Option Exercise,0.0,"3,283",0,"24,495",Dec 07 09:11 PM
Musk Elon,CEO,2021-12-02,Option Exercise,6.24,"2,133,441","13,312,672","2,133,441",Dec 02 09:43 PM
Musk Elon,CEO,2021-12-02,Sale,1079.29,"634,592","684,906,148","1,498,849",Dec 02 09:43 PM
Musk Elon,CEO,2021-12-02,Sale,1097.65,"299,499","328,744,683","1,199,350",Dec 02 09:45 PM
Musk Elon,CEO,2021-11-23,Option Exercise,6.24,"2,152,681","13,432,729","2,152,681",Nov 23 09:30 PM
Musk Elon,CEO,2021-11-23,Sale,1171.04,"126,471","148,102,963","1,218,590",Nov 23 09:34 PM
Musk Elon,CEO,2021-11-23,Sale,1145.29,"276,215","316,346,849","1,345,061",Nov 23 09:33 PM
Musk Elon,CEO,2021-11-23,Sale,1114.76,"308,694","344,120,356","1,621,276",Nov 23 09:32 PM
Musk Elon,CEO,2021-11-23,Sale,1081.58,"222,711","240,879,277","1,929,970",Nov 23 09:30 PM
Kirkhorn Zachary,Chief Financial Officer,2021-11-17,Sale,1063.51,"1,250","1,329,388","53,662",Nov 19 07:02 PM
Musk Elon,CEO,2021-11-16,Option Exercise,6.24,"2,113,761","13,189,869","3,287,342",Nov 16 08:02 PM
Musk Elon,CEO,2021-11-16,Sale,1046.73,"724,403","758,251,348","2,353,251",Nov 16 08:06 PM
Musk Elon,CEO,2021-11-16,Sale,1025.82,"209,688","215,101,825","3,077,654",Nov 16 08:02 PM
Musk Elon,CEO,2021-11-15,Option Exercise,6.24,"2,107,672","13,151,873","2,107,672",Nov 15 08:18 PM
Musk Elon,CEO,2021-11-15,Sale,992.72,"785,896","780,174,796","1,321,776",Nov 15 08:18 PM
Musk Elon,CEO,2021-11-15,Sale,1015.85,"148,195","150,543,964","1,173,581",Nov 15 08:20 PM
Musk Elon,CEO,2021-11-12,Sale,1029.67,"1,200,000","1,235,607,329","166,285,682",Nov 12 08:28 PM
Musk Elon,CEO,2021-11-11,Sale,1098.24,"52,099","57,217,365","167,485,682",Nov 12 06:03 AM
Musk Elon,CEO,2021-11-11,Sale,1072.22,"587,638","630,079,728","167,537,781",Nov 12 06:02 AM
Musk Elon,CEO,2021-11-10,Sale,1019.03,"58,101","59,206,941","167,346,837",Nov 10 09:46 PM
Musk Elon,CEO,2021-11-10,Sale,1048.46,"199,893","209,580,234","167,146,944",Nov 10 09:47 PM
Musk Elon,CEO,2021-11-10,Sale,1068.09,"242,006","258,484,236","166,904,938",Nov 10 09:49 PM
